Country,Geo_URN_ID,Region_Code
United States,103644278,us:0
United Kingdom,101165590,gb:0
Canada,101174742,ca:0
India,102713980,in:0
Germany,101282230,de:0
France,105015875,fr:0
Australia,101452733,au:0
Netherlands,102890719,nl:0
Singapore,102454443,sg:0
United Arab Emirates,104305776,ae:0
